State, Year, Enrolled Agencies, Participating, Enrolled
AK,2019,"Alaska Department of Public Safety, Alaska State Troopers",Yes,
AK,2019,"Anchorage Police Department",Yes,Yes
AK,2019,"Bethel Police Department",Yes,Yes
AK,2019,"Cordova Police Department",Yes,Yes
AK,2019,"Fairbanks International Airport",Yes,Yes
AK,2019,"Fairbanks Police Department",Yes,
AK,2019,"Haines Police Department",Yes,Yes
AK,2019,"Juneau Police Department",Yes,Yes
AK,2019,"Ketchikan Police Department",Yes,
AK,2019,"Kodiak Police Department",Yes,Yes
AK,2019,"Palmer Police Department",Yes,Yes
AK,2019,"Petersburg Police Department",Yes,Yes
AK,2019,"Soldotna Police Department",Yes,Yes
AK,2019,"University of Alaska, Fairbanks",Yes,Yes
AK,2019,"Valdez Police Department",Yes,Yes
AK,2019,"Wasilla Police Department",Yes,Yes
AL,2019,"Ashville Police Department",Yes,Yes
AL,2019,"Birmingham Police Department",,Yes
AL,2019,"Cottonwood Police Department",Yes,Yes
AL,2019,"Leeds Police Department",Yes,Yes
AL,2019,"Madison Police Department",Yes,
AL,2019,"Millbrook Police Department",,Yes
AR,2019,"Benton County Sheriff's Office",Yes,Yes
AR,2019,"Fort Smith Police Department",Yes,Yes
AR,2019,"Pope County Sheriff's Office",,Yes
AR,2019,"Pulaski County Sheriff's Office",Yes,Yes
AR,2019,"Quitman Police Department",Yes,Yes
AR,2019,"Rogers Police Department",Yes,Yes
AR,2019,"State Police Headquarters, Little Rock",Yes,Yes
AR,2019,"University of Central Arkansas",Yes,Yes
AZ,2019,"Arizona Department of Public Safety",,Yes
AZ,2019,"Casa Grande Police Department",Yes,Yes
AZ,2019,"Chandler Police Department",Yes,Yes
AZ,2019,"Fort McDowell Tribal",Yes,Yes
AZ,2019,"Gila River Indian Community",Yes,Yes
AZ,2019,"Hualapai Tribal",Yes,Yes
AZ,2019,"Kingman Police Department",Yes,Yes
AZ,2019,"Mesa Police Department",Yes,Yes
AZ,2019,"Northern Arizona University",Yes,Yes
AZ,2019,"Pascua Yaqui Tribal",Yes,Yes
AZ,2019,"Prescott Valley Police Department",Yes,Yes
AZ,2019,"Scottsdale Police Department",Yes,Yes
AZ,2019,"Tohono O'odham Nation",Yes,Yes
AZ,2019,"Tucson Police Department",Yes,Yes
AZ,2019,"Wellton Police Department",Yes,Yes
CA,2019,"Alameda Police Department",,Yes
CA,2019,"Beverly Hills Police Department",Yes,Yes
